,lift,freq,error,rule
0,3.335654596100279,0.0017,0.0,保険業 <= -0.1292& 非鉄金属 <= -0.2020& 小売業 <= -0.2663& 鉄鋼 <= -0.1191
2716,3.335654596100279,0.0008,0.0,建設業 > -0.0037& 水産・農林業 > -0.0795& 非鉄金属 > -0.2595& 石油・石炭製品 <= 0.0167& 陸運業 <= -0.1008& 卸売業 > -0.0968
2988,3.335654596100279,0.0004,0.0,空運業 <= -0.1616& 電気・ガス業 > 0.0634& パルプ・紙 <= -0.0843& 鉄鋼 > -0.0950
987,3.335654596100279,0.0013,0.0,その他製品 > 0.1038& パルプ・紙 <= -0.0644& 輸送用機器 > 0.0451& 卸売業 > -0.0793& 倉庫・運輸関連業 <= -0.0724
2973,3.335654596100279,0.0004,0.0,建設業 <= -0.3580& 非鉄金属 <= -0.2117& パルプ・紙 <= -0.0843& 鉄鋼 <= -0.0950
1000,3.335654596100279,0.0025,0.0,電気機器 > 0.1979& その他金融業 > -0.0063& 食料品 > -0.1146& 非鉄金属 > 0.2698& パルプ・紙 > -0.0644& サービス業 <= 0.0590
1003,3.335654596100279,0.0021,0.0,電気機器 > 0.1907& パルプ・紙 > -0.0644& サービス業 > 0.0590& 輸送用機器 <= 0.1711& 輸送用機器 <= 0.0908
1008,3.335654596100279,0.0004,0.0,ガラス・土石製品 <= 0.1494& 非鉄金属 <= 0.2156& パルプ・紙 > -0.0644& 石油・石炭製品 <= 0.1189& サービス業 > 0.0590& 輸送用機器 > 0.1711
1016,3.335654596100279,0.0017,0.0,電気機器 <= 0.1027& 電気・ガス業 <= -0.0897& 医薬品 <= -0.1028& 不動産業 <= 0.0438& サービス業 > -0.1084
1019,3.335654596100279,0.0075,0.0,電気機器 > 0.1027& 電気・ガス業 <= -0.0897& 水産・農林業 > -0.1139& 金属製品 <= 0.1080& 不動産業 <= 0.0438& サービス業 > -0.1084
2937,3.335654596100279,0.0004,0.0,非鉄金属 > -0.2261& 医薬品 > -0.0168& 陸運業 <= -0.0781& 小売業 <= -0.1425& 鉄鋼 <= -0.0958& サービス業 > -0.1357
1033,3.335654596100279,0.0004,0.0,建設業 <= -0.1049& 情報・通信業 <= 0.1041& 電気・ガス業 > -0.0897& ガラス・土石製品 <= 0.3466& 金属製品 > 0.0609& 輸送用機器 <= 0.1680
1037,3.335654596100279,0.0017,0.0,情報・通信業 <= 0.1041& 電気・ガス業 > -0.0897& ガラス・土石製品 > 0.3466& 金属製品 > 0.0609
1041,3.335654596100279,0.0213,0.0,情報・通信業 > 0.1041& 電気・ガス業 > -0.0897& 電気・ガス業 <= 0.1356& その他金融業 > 0.1050& サービス業 <= 0.1033
1047,3.335654596100279,0.0004,0.0,鉱業 <= -0.5558& 小売業 <= -0.1674& サービス業 <= -0.2077
1050,3.335654596100279,0.0196,0.0,情報・通信業 <= -0.1229& パルプ・紙 <= -0.0651& 小売業 <= -0.1674& 鉄鋼 > -0.3770& サービス業 > -0.2077
1051,3.335654596100279,0.0004,0.0,情報・通信業 <= -0.1229& 食料品 <= -0.0840& パルプ・紙 > -0.0651& 小売業 <= -0.1674& 鉄鋼 > -0.3770& サービス業 > -0.2077
1055,3.335654596100279,0.0004,0.0,情報・通信業 > -0.1229& 保険業 <= -0.0899& 石油・石炭製品 > 0.1091& 陸運業 > -0.1134& 小売業 <= -0.1674& サービス業 > -0.2077
1058,3.335654596100279,0.0008,0.0,建設業 <= -0.1865& 陸運業 <= -0.0632& 小売業 > -0.1674& 海運業 <= -0.0898& 卸売業 <= -0.0969& 卸売業 > -0.1871
2909,3.335654596100279,0.0038,0.0,化学 > -0.0876& パルプ・紙 <= -0.0979& 陸運業 <= -0.0845& 海運業 <= 0.0666& 鉄鋼 > -0.1050& 鉄鋼 > 0.0220
1064,3.335654596100279,0.0075,0.0,金属製品 > -0.0788& 陸運業 <= -0.0632& 小売業 > -0.1674& 海運業 > -0.0898& 繊維製品 > -0.1320& 卸売業 <= -0.0969
1065,3.335654596100279,0.0004,0.0,ガラス・土石製品 <= -0.0146& 保険業 <= -0.3194& 陸運業 > -0.0632& 小売業 > -0.1674& 卸売業 <= -0.0969
2902,3.335654596100279,0.0033,0.0,空運業 <= -0.0395& 化学 <= -0.0876& パルプ・紙 <= -0.0979& 証券・商品先物取引業 <= -0.1957& 鉄鋼 > -0.1050
1067,3.335654596100279,0.0013,0.0,ガラス・土石製品 > -0.0146& 陸運業 > -0.0632& 小売業 > -0.1674& 卸売業 <= -0.0969
1068,3.335654596100279,0.0004,0.0,空運業 <= -0.2080& 陸運業 <= -0.0817& 小売業 > -0.1674& 繊維製品 <= -0.1821& 卸売業 > -0.0969& マーケット <= 0.59
2901,3.335654596100279,0.0025,0.0,パルプ・紙 > -0.2112& 石油・石炭製品 > 0.0883& 鉄鋼 <= -0.1050
2898,3.335654596100279,0.0008,0.0,食料品 <= -0.1731& 鉱業 > -0.1523& パルプ・紙 > -0.2112& 石油・石炭製品 <= 0.0883& 石油・石炭製品 > -0.2523& 鉄鋼 <= -0.1050
1074,3.335654596100279,0.0008,0.0,水産・農林業 <= -0.1500& 陸運業 <= -0.0817& 小売業 > -0.1674& 卸売業 > -0.0969& マーケット > 0.59& サイズ > -0.22
2895,3.335654596100279,0.0029,0.0,金属製品 <= -0.1264& パルプ・紙 > -0.2112& 石油・石炭製品 <= 0.0883& 石油・石炭製品 <= -0.2523& 鉄鋼 <= -0.1050& 鉄鋼 > -0.1703
985,3.335654596100279,0.0196,0.0,その他製品 <= 0.1038& パルプ・紙 <= -0.0644& 輸送用機器 > 0.0451& 倉庫・運輸関連業 <= -0.0724
2993,3.335654596100279,0.0025,0.0,空運業 > -0.1616& 建設業 <= 0.0270& 保険業 <= -0.1257& パルプ・紙 <= -0.0843& 鉄鋼 > -0.0950& 鉄鋼 > 0.0492
2995,3.335654596100279,0.0046,0.0,空運業 > -0.1616& 建設業 > 0.0270& 金属製品 <= -0.0414& パルプ・紙 <= -0.0843& 鉄鋼 > -0.0950& 鉄鋼 > 0.0492
3078,3.335654596100279,0.0008,0.0,空運業 <= -0.0472& 情報・通信業 > -0.0433& 情報・通信業 > 0.1014& 電気機器 > -0.0485& 金属製品 <= 0.0558& パルプ・紙 <= -0.0947
878,3.335654596100279,0.0004,0.0,化学 <= -0.1037& 水産・農林業 <= -0.0061& 食料品 <= -0.3219& 非鉄金属 <= -0.2246& パルプ・紙 <= -0.1193& 輸送用機器 <= 0.0231
3103,3.335654596100279,0.0008,0.0,情報・通信業 <= 0.0606& 電気機器 > 0.2715& 金属製品 > 0.0558& 医薬品 > -0.0925& 倉庫・運輸関連業 > 0.1526
880,3.335654596100279,0.0117,0.0,化学 <= -0.1037& 水産・農林業 <= -0.0061& 金属製品 <= -0.1345& 非鉄金属 > -0.2246& パルプ・紙 <= -0.1193& 輸送用機器 <= 0.0231
882,3.335654596100279,0.0029,0.0,空運業 <= -0.1403& 化学 > -0.1037& 水産・農林業 <= -0.0061& 金属製品 <= -0.1230& パルプ・紙 <= -0.1193& 輸送用機器 <= 0.0231
3101,3.335654596100279,0.0004,0.0,建設業 > 0.1178& 電気機器 <= 0.2715& 金属製品 > 0.0558& 石油・石炭製品 > 0.0460& 医薬品 > -0.0925& 倉庫・運輸関連業 > 0.3204
3092,3.335654596100279,0.0004,0.0,電気・ガス業 > -0.0909& 金属製品 > 0.0558& 医薬品 <= -0.0925& 海運業 <= -0.0806
890,3.335654596100279,0.0017,0.0,電気・ガス業 <= -0.0067& 水産・農林業 <= -0.0061& 保険業 <= -0.1815& パルプ・紙 > -0.1193& 輸送用機器 <= 0.0231& 繊維製品 > -0.0497
894,3.335654596100279,0.0008,0.0,空運業 <= -0.1005& 水産・農林業 <= -0.0061& 海運業 <= -0.2322& 輸送用機器 > 0.0231
895,3.335654596100279,0.0021,0.0,空運業 <= -0.1005& 水産・農林業 <= -0.0061& 鉱業 <= -0.0816& 海運業 > -0.2322& 輸送用機器 > 0.0231& マーケット <= -1.055
904,3.335654596100279,0.0042,0.0,空運業 > -0.1005& 水産・農林業 <= -0.0061& パルプ・紙 > 0.1124& 証券・商品先物取引業 > 0.3214& 証券・商品先物取引業 <= 0.5547& 輸送用機器 > 0.0231
3079,3.335654596100279,0.0242,0.0,空運業 > -0.0472& 電気機器 > -0.0485& 金属製品 <= 0.0558& パルプ・紙 <= -0.0947& パルプ・紙 <= -0.1105& 証券・商品先物取引業 <= -0.0478
909,3.335654596100279,0.0004,0.0,建設業 > 0.0288& 水産・農林業 > -0.0061& 金属製品 <= 0.0159& 陸運業 <= -0.0450& 小売業 <= -0.0731& サービス業 > -0.1252
917,3.335654596100279,0.0142,0.0,水産・農林業 > -0.0061& 金属製品 <= 0.0159& 陸運業 > -0.0450& 海運業 <= 0.2807& 繊維製品 > 0.0737
973,3.335654596100279,0.01,0.0,パルプ・紙 <= -0.0644& 小売業 <= -0.1991& サービス業 > -0.2214& 輸送用機器 <= 0.0451& 繊維製品 <= -0.0381
3064,3.335654596100279,0.0004,0.0,電気機器 <= -0.0485& 機械 <= -0.4808& 金属製品 <= 0.0558& 石油・石炭製品 <= 0.0743& ゴム製品 <= -0.1630& 輸送用機器 <= -0.2589
3051,3.335654596100279,0.0008,0.0,保険業 <= 0.3823& 金属製品 > 0.0556& 精密機器 <= 0.1393& 輸送用機器 > 0.2841
3047,3.335654596100279,0.0008,0.0,水産・農林業 <= -0.1238& 保険業 <= 0.3823& 金属製品 > 0.0556& 精密機器 <= 0.1393& 輸送用機器 <= 0.2841& 繊維製品 <= 0.2115
947,3.335654596100279,0.0029,0.0,建設業 <= -0.0945& 鉱業 <= 0.3587& 鉄鋼 > 0.0793& 輸送用機器 <= 0.1064& 繊維製品 <= 0.2699
950,3.335654596100279,0.0017,0.0,建設業 <= 0.1399& 鉱業 > 0.3587& 鉄鋼 > 0.0793& 輸送用機器 <= 0.1064& 繊維製品 <= 0.2699
3029,3.335654596100279,0.0129,0.0,化学 <= -0.0761& 情報・通信業 <= -0.0581& 水産・農林業 > -0.2024& 金属製品 <= 0.0556& 非鉄金属 > -0.2046& 倉庫・運輸関連業 <= -0.1301
952,3.335654596100279,0.0013,0.0,鉄鋼 > 0.0793& 輸送用機器 <= 0.1064& 繊維製品 > 0.2699
956,3.335654596100279,0.0046,0.0,食料品 <= 0.1020& ガラス・土石製品 <= 0.1043& 金属製品 <= 0.0462& パルプ・紙 > -0.0148& 輸送用機器 > 0.1064& 倉庫・運輸関連業 > 0.0752
960,3.335654596100279,0.0008,0.0,金属製品 > 0.0462& その他製品 <= 0.1743& 鉄鋼 <= 0.1342& 輸送用機器 > 0.1064& 倉庫・運輸関連業 <= -0.0724
3013,3.335654596100279,0.0004,0.0,水産・農林業 <= -0.0215& 非鉄金属 > 0.1559& パルプ・紙 > -0.0843& ゴム製品 <= 0.0251& 輸送用機器 > 0.1305
969,3.335654596100279,0.0004,0.0,水産・農林業 > 0.0477& 金属製品 > 0.0462& 鉄鋼 > 0.1342& 輸送用機器 > 0.1064& 繊維製品 <= 0.1453& マーケット > 3.08
1945,3.335654596100279,0.0004,0.0,その他金融業 > -0.1233& 水産・農林業 <= -0.0079& 食料品 <= 0.0978& 非鉄金属 > -0.2118& パルプ・紙 <= -0.0947& 鉄鋼 > 0.0720
2894,3.335654596100279,0.0017,0.0,機械 > -0.1786& パルプ・紙 > -0.2112& 石油・石炭製品 <= 0.0883& 石油・石炭製品 <= -0.2523& 鉄鋼 <= -0.1050& 鉄鋼 <= -0.1703
1081,3.335654596100279,0.0029,0.0,電気・ガス業 <= -0.1128& 陸運業 > -0.0817& 小売業 > -0.1674& ゴム製品 > 0.1759& ゴム製品 > 0.2026& 卸売業 > -0.0969
1083,3.335654596100279,0.0008,0.0,電気・ガス業 > -0.1128& 陸運業 > -0.0817& 小売業 > -0.1674& ゴム製品 > 0.1759& サービス業 > 0.2206& 卸売業 > -0.0969
1210,3.335654596100279,0.0217,0.0,建設業 > 0.1221& 金属製品 <= 0.0562& 陸運業 > -0.0762& 不動産業 > 0.0397& 鉄鋼 > -0.1053
1167,3.335654596100279,0.0004,0.0,電気・ガス業 > -0.0965& ガラス・土石製品 <= -0.1305& 保険業 <= -0.1100& 精密機器 <= -0.1076& 繊維製品 <= -0.0660& 繊維製品 <= -0.3745
1169,3.335654596100279,0.0033,0.0,電気・ガス業 > -0.0965& ガラス・土石製品 > -0.1305& 保険業 <= -0.1100& 精密機器 <= -0.1076& 証券・商品先物取引業 <= -0.2560& 繊維製品 <= -0.0660
