,業種1,不等号1,値1,業種2,不等号2,値2,業種3,不等号3,値3,業種4,不等号4,値4,業種5,不等号5,値5,業種6,不等号6,値6
2909,空運業,<=,-0.136061816731395,空運業,>,-0.27202874026112,陸運業,<=,-0.0834009138868055,海運業,>,-0.296716964259709,鉄鋼,<=,-0.223568208397256,,,
1014,情報・通信業,>,-0.141868151797134,電気・ガス業,<=,-0.0919601841868163,パルプ・紙,<=,-0.215878824513674,不動産業,<=,0.0464796455934882,,,,,,
2878,電気・ガス業,<=,-0.0348570605259797,水産・農林業,>,-0.0087885568803066,鉱業,>,0.336036744699965,非鉄金属,>,0.401441801509135,陸運業,>,-0.0633935946390285,,,
988,ガラス・土石製品,>,-0.0012721467672856,金属製品,<=,0.0537600888597044,非鉄金属,<=,0.0947462769220533,陸運業,>,-0.0436891341240211,輸送用機器,>,0.0807851048524406,卸売業,>,0.174408977251347
993,電気・ガス業,<=,-0.0559025056427864,金属製品,>,0.0537600888597044,非鉄金属,<=,0.225915376077968,繊維製品,>,0.0987220669467019,バリュー,>,0.48,,,
994,化学,<=,0.0801456564046956,電気機器,<=,0.18807695036548,電気・ガス業,<=,-0.0559025056427864,金属製品,>,0.0537600888597044,非鉄金属,>,0.225915376077968,,,
2867,水産・農林業,>,-0.0087885568803066,その他製品,>,0.0338605893173047,精密機器,>,0.13271951111225,陸運業,<=,-0.0633935946390285,,,,,,
996,電気機器,>,0.18807695036548,電気・ガス業,<=,-0.0559025056427864,金属製品,>,0.0537600888597044,非鉄金属,>,0.225915376077968,鉄鋼,<=,0.497325007574925,,,
998,電気機器,>,0.18807695036548,電気・ガス業,<=,-0.0559025056427864,食料品,>,0.149936949935603,金属製品,>,0.0537600888597044,非鉄金属,>,0.225915376077968,鉄鋼,>,0.497325007574925
999,建設業,<=,-0.0934696510123028,電気・ガス業,>,-0.0559025056427864,金属製品,>,0.0537600888597044,非鉄金属,<=,0.268678385380052,ゴム製品,<=,0.11958970658542,,,
1004,化学,>,0.058423800225713,電気・ガス業,>,-0.0559025056427864,食料品,<=,-0.0654268507301499,金属製品,>,0.0537600888597044,非鉄金属,<=,0.268678385380052,ゴム製品,>,0.11958970658542
1006,電気・ガス業,>,-0.0559025056427864,金属製品,>,0.0537600888597044,非鉄金属,>,0.268678385380052,倉庫・運輸関連業,<=,0.0942384342500824,,,,,,
1009,電気・ガス業,>,-0.0559025056427864,金属製品,>,0.0537600888597044,非鉄金属,>,0.268678385380052,医薬品,>,0.103255429372267,精密機器,<=,0.196731780339919,倉庫・運輸関連業,>,0.0942384342500824
2852,水産・農林業,<=,-0.0087885568803066,金属製品,<=,0.0519383992280428,陸運業,<=,-0.0793622913326912,不動産業,>,-0.111486901901704,鉄鋼,<=,-0.0687323873013244,輸送用機器,>,0.018848001069562
1017,情報・通信業,>,-0.141868151797134,電気・ガス業,<=,-0.0919601841868163,鉱業,>,-0.0635255249338807,パルプ・紙,>,-0.215878824513674,不動産業,<=,0.0464796455934882,サイズ,<=,-2.125
2784,化学,>,0.0866408386163337,電気機器,>,0.271578853753333,その他製品,>,0.0277150068753727,その他製品,<=,0.165588831116579,パルプ・紙,>,0.213010976515742,小売業,<=,0.217521224554023
2843,化学,>,-0.158657301103591,水産・農林業,<=,-0.0087885568803066,石油・石炭製品,<=,-0.041449891282666,石油・石炭製品,<=,-0.272806021783357,輸送用機器,<=,0.018848001069562,卸売業,>,-0.09643145374024
2842,化学,<=,-0.158657301103591,水産・農林業,<=,-0.0087885568803066,石油・石炭製品,<=,-0.041449891282666,輸送用機器,<=,0.018848001069562,卸売業,>,-0.09643145374024,,,
1024,電気機器,<=,-0.148332693382402,電気・ガス業,>,-0.0919601841868163,鉱業,>,-0.357449730714677,パルプ・紙,<=,-0.24654462582135,石油・石炭製品,<=,0.0672622122618977,海運業,<=,-0.0916982112467982
2841,水産・農林業,<=,-0.0087885568803066,水産・農林業,>,-0.01894326046529,鉱業,>,-0.03585699700498,その他製品,>,-0.121317553974926,輸送用機器,<=,0.018848001069562,卸売業,<=,-0.09643145374024
1026,化学,>,-0.089448776816163,電気機器,<=,-0.148332693382402,電気・ガス業,>,-0.0919601841868163,パルプ・紙,>,-0.24654462582135,石油・石炭製品,<=,0.0672622122618977,海運業,<=,-0.0916982112467982
1030,電気機器,<=,-0.148332693382402,電気・ガス業,>,-0.0919601841868163,石油・石炭製品,>,0.0672622122618977,,,,,,,,,
2826,機械,>,0.285482157112903,金属製品,>,0.0493310778332377,金属製品,<=,0.113097569426305,非鉄金属,>,0.218245122827257,証券・商品先物取引業,>,0.288911437368556,卸売業,<=,0.280005204645633
2821,ガラス・土石製品,>,0.252681286409595,金属製品,>,0.0493310778332377,非鉄金属,>,0.136081385855918,陸運業,<=,0.04490109787712,小売業,>,-0.0705214478253688,証券・商品先物取引業,<=,0.288911437368556
2817,建設業,<=,-0.0801632849776037,金属製品,>,0.0493310778332377,非鉄金属,<=,0.136081385855918,小売業,>,-0.0705214478253688,証券・商品先物取引業,<=,0.288911437368556,証券・商品先物取引業,>,-0.0326359706732305
1056,電気機器,>,0.00054671719820285,その他製品,<=,0.0277150068753727,陸運業,>,-0.0624138336831682,海運業,>,-0.0912541318454718,卸売業,<=,-0.0618222799731634,,,
2790,金属製品,<=,0.0493310778332377,その他製品,<=,-0.202147369921222,陸運業,<=,-0.074173781850124,不動産業,<=,-0.248866737595156,海運業,>,-0.250482514404897,,,
2787,金属製品,<=,0.0493310778332377,その他製品,<=,-0.202147369921222,パルプ・紙,<=,-0.242799289080643,陸運業,<=,-0.074173781850124,ゴム製品,<=,-0.248269076947645,海運業,<=,-0.250482514404897
2882,ガラス・土石製品,<=,-0.159536393326264,ガラス・土石製品,>,-0.304325193546558,小売業,<=,-0.195928398027978,,,,,,,,,
