,使用ルール数,エントリールール数,エントリー日,決済日,各リターン,累和リターン
0,1.0,1.0,2001-11-26,2002-02-27,-0.07493777381816182,-0.07493777381816182
1,1.0,1.0,2002-02-28,2002-05-29,0.11042611955020719,0.03548834573204537
2,1.0,1.0,2004-10-28,2005-01-28,0.04627379041504246,0.08176213614708783
3,1.0,1.0,2005-06-10,2005-09-05,0.12323211223965805,0.20499424838674588
4,1.0,1.0,2007-08-16,2007-11-13,-0.07191890064180267,0.1330753477449432
5,1.0,1.0,2009-03-17,2009-06-16,0.2026188472864956,0.3356941950314388
6,1.0,1.0,2009-12-15,2010-03-16,0.060443349196839385,0.3961375442282782
7,1.0,1.0,2010-10-01,2010-12-30,0.08293070833885553,0.4790682525671337
0,2.0,1.0,2001-11-26,2002-02-27,-0.07493777381816182,-0.07493777381816182
1,2.0,1.0,2002-02-28,2002-05-29,0.11042611955020719,0.03548834573204537
2,2.0,1.0,2004-10-22,2005-01-24,0.04431447324997263,0.079802818982018
3,2.0,1.0,2005-06-10,2005-09-05,0.12323211223965805,0.20303493122167604
4,2.0,1.0,2007-05-25,2007-08-20,-0.11190062604194599,0.09113430517973005
5,2.0,1.0,2007-09-27,2007-12-25,-0.0737516639321426,0.017382641247587455
6,2.0,1.0,2008-02-29,2008-05-29,0.04255142417011518,0.05993406541770264
7,2.0,1.0,2009-02-09,2009-05-12,0.13676980356913593,0.19670386898683856
8,2.0,1.0,2009-12-15,2010-03-16,0.060443349196839385,0.2571472181836779
9,2.0,1.0,2010-10-01,2010-12-30,0.08293070833885553,0.34007792652253344
0,2.0,2.0,2001-12-07,2002-03-12,0.05055991737513019,0.05055991737513019
1,2.0,2.0,2004-10-28,2005-01-28,0.04627379041504246,0.09683370779017264
2,2.0,2.0,2005-06-13,2005-09-06,0.11884383208948722,0.21567753987965987
3,2.0,2.0,2009-03-17,2009-06-16,0.2026188472864956,0.41829638716615547
4,2.0,2.0,2010-01-04,2010-04-01,0.0759049959049959,0.49420138307115136
5,2.0,2.0,2010-10-01,2010-12-30,0.08293070833885553,0.5771320914100069
0,3.0,1.0,2001-11-26,2002-02-27,-0.07493777381816182,-0.07493777381816182
1,3.0,1.0,2002-02-28,2002-05-29,0.11042611955020719,0.03548834573204537
2,3.0,1.0,2003-03-11,2003-06-06,0.12845501025148584,0.1639433559835312
3,3.0,1.0,2003-11-18,2004-02-19,0.0884183925049309,0.2523617484884621
4,3.0,1.0,2004-10-22,2005-01-24,0.04431447324997263,0.2966762217384347
5,3.0,1.0,2005-05-17,2005-08-10,0.10437035104919003,0.40104657278762473
6,3.0,1.0,2006-06-07,2006-08-31,0.06580852146015108,0.4668550942477758
7,3.0,1.0,2006-11-09,2007-02-08,0.0825141907794546,0.5493692850272305
8,3.0,1.0,2007-04-26,2007-07-25,0.029716862059046202,0.5790861470862767
9,3.0,1.0,2007-08-03,2007-10-31,-0.03137144702069907,0.5477147000655777
10,3.0,1.0,2007-11-07,2008-02-08,-0.17315586276008707,0.37455883730549056
11,3.0,1.0,2008-02-29,2008-05-29,0.04255142417011518,0.41711026147560576
12,3.0,1.0,2009-02-09,2009-05-12,0.13676980356913593,0.5538800650447417
13,3.0,1.0,2009-07-15,2009-10-14,0.03228412802844054,0.5861641930731822
14,3.0,1.0,2009-12-15,2010-03-16,0.060443349196839385,0.6466075422700216
15,3.0,1.0,2010-09-03,2010-12-03,0.06740318076969767,0.7140107230397192
16,3.0,1.0,2011-03-25,2011-06-23,-0.03717138258415172,0.6768393404555675
