,使用ルール数,エントリールール数,リスク,期待リターン,シャープレシオ,取引回数
0,1,1,0.19060480926737852,0.3833372799694703,2.011162684944264,6
0,2,1,0.20198195075836306,0.3060909070193073,1.5154369282505487,7
0,2,2,0.18620604291114742,0.4080340354856065,2.1913039400139636,6
0,3,1,0.20626345379703012,0.2096235295471124,1.0162902137447418,8
0,3,2,0.18635287932227793,0.40871431839895594,2.193227815343422,6
0,3,3,0.18442350969764434,0.40504064155220076,2.196252756583205,6
0,4,1,0.1924959015133912,0.2586953933625673,1.3439007860880139,15
0,4,2,0.191317997725186,0.25074097094780895,1.3105979255959996,7
0,4,3,0.18595993344346598,0.41410938851492074,2.2268742564419926,6
0,4,4,0.1528098332503308,0.3439506692135353,2.250841205029525,5
0,5,1,0.18982005557490902,0.18281937101560813,0.9631193630299081,18
0,5,2,0.1885722439063262,0.296061347267607,1.5700155077683453,11
0,5,3,0.18608698705310725,0.40434536155391915,2.1728835957697745,6
0,5,4,0.18495649927433408,0.43926786708136545,2.3749793535496564,6
0,5,5,0.12221941893527027,0.3067533861730309,2.5098579983880738,4
0,6,1,0.188479786353726,0.15909056250163672,0.8440722773479084,19
0,6,2,0.1942123571821631,0.20461979457715562,1.0535879258456804,12
0,6,3,0.18479430742693162,0.39557611664522174,2.140629341635072,10
0,6,4,0.18515486221218397,0.42985986295901657,2.321623412008513,6
0,6,5,0.18367021225055957,0.40646302259806316,2.2130045891359544,6
0,6,6,0.11696209526677018,0.34209791999863937,2.9248614195767746,2
0,7,1,0.18822812015758048,0.1616615379570339,0.8588596529662751,19
0,7,2,0.1941323088274346,0.20110886644700218,1.0359371279397347,12
0,7,3,0.19212160174911508,0.27669786487508186,1.4402225588167434,11
0,7,4,0.1845849767046854,0.44845762257307437,2.4295456248888265,9
0,7,5,0.18572293716480348,0.408841207331807,2.2013501055554427,6
0,7,6,0.18210237790672104,0.4128515351280003,2.2671397258715467,6
0,7,7,0.11696209526677018,0.34209791999863937,2.9248614195767746,2
0,8,1,0.19181077097960347,0.13102874767066927,0.6831146499306988,20
0,8,2,0.19018356399055494,0.2066762762311494,1.0867199661975708,13
0,8,3,0.19557058325544147,0.2541555946306069,1.2995594245308637,12
0,8,4,0.18521757046085796,0.43144795496967614,2.3294115881994797,9
0,8,5,0.188105011006668,0.4185991597952861,2.225348264541701,6
0,8,6,0.1843065377489604,0.4248805086895551,2.3052926601457564,6
0,8,7,0.18210237790672104,0.4128515351280003,2.2671397258715467,6
0,8,8,0.11696209526677018,0.34209791999863937,2.9248614195767746,2
0,9,1,0.19054514520880655,0.1317144808863731,0.6912507833355471,21
0,9,2,0.18970946101447175,0.20877146594780793,1.10047999098939,13
0,9,3,0.19163089448843848,0.25260225197547365,1.318170812956852,13
0,9,4,0.18533352828145916,0.4240606427989738,2.288094586722423,9
0,9,5,0.1892385630898618,0.3987705565302775,2.1072372883158987,6
0,9,6,0.18493162786382417,0.42417396481892783,2.2936799384649964,6
0,9,7,0.1843065377489604,0.4248805086895551,2.3052926601457564,6
0,9,8,0.17715785386628877,0.3949228503597556,2.229214464619935,5
0,9,9,0.11696209526677018,0.34209791999863937,2.9248614195767746,2
0,10,1,0.19052494091193317,0.1275892806806337,0.6696723277799603,21
0,10,2,0.18934266665937283,0.18620886836906833,0.9834490643572577,13
0,10,3,0.1911723948912324,0.2525415102283936,1.3210145239435704,13
0,10,4,0.18549290612180536,0.41966919240708034,2.262454134669179,9
0,10,5,0.18281749695371283,0.3903839333614703,2.1353751137961963,7
0,10,6,0.1847415822695974,0.4078735457501168,2.207805848251847,6
0,10,7,0.18493162786382417,0.42417396481892783,2.2936799384649964,6
0,10,8,0.18911302485181322,0.47387925677310094,2.5057991491830203,5
0,10,9,0.17715785386628877,0.3949228503597556,2.229214464619935,5
0,10,10,0.11554629370199283,0.3856974646512372,3.3380340666399504,2
0,11,1,0.19163409568186743,0.13351928388599252,0.6967407517483133,21
0,11,2,0.1895711639983923,0.20663073877674162,1.0899903467306558,13
0,11,3,0.19264590296596065,0.24914104465160855,1.2932589835332768,13
0,11,4,0.19232900001736544,0.26426672573860444,1.3740347306685092,11
0,11,5,0.18452726173960246,0.4317435871622076,2.3397279247088543,9
0,11,6,0.17868412686673552,0.40768446834080696,2.281593085461152,7
0,11,7,0.18515486221218397,0.42985986295901657,2.321623412008513,6
0,11,8,0.18572293716480348,0.408841207331807,2.2013501055554427,6
0,11,9,0.1783097703002008,0.43094082618229823,2.4168099451688483,5
0,11,10,0.17715785386628877,0.3949228503597556,2.229214464619935,5
0,11,11,0.11554629370199283,0.3856974646512372,3.3380340666399504,2
0,12,1,0.19430826734812434,0.15022599082360188,0.773132264899752,21
0,12,2,0.1871889799738682,0.17158514214514023,0.9166412583106853,14
0,12,3,0.192713056192412,0.2606876384074757,1.3527243226696344,13
0,12,4,0.19256068374883464,0.2699704021216472,1.402001680019902,11
0,12,5,0.18932634617063826,0.3068603307312571,1.6208009975256505,11
0,12,6,0.17775929080797528,0.4615810103925627,2.5966632084012207,8
0,12,7,0.17905118155937705,0.42652988309129236,2.3821673745830396,7
0,12,8,0.18572293716480348,0.408841207331807,2.2013501055554427,6
0,12,9,0.1781933496671082,0.4124009160609899,2.314345158399101,5
0,12,10,0.17681279734082375,0.4104353805583174,2.321299061668956,5
0,12,11,0.17938832632425553,0.39794209371520894,2.218327702081929,3
0,12,12,0.11133981408312253,0.4044120700238476,3.632232309297079,2
0,13,1,0.19427365427942858,0.15792641772094462,0.8129070218332084,21
0,13,2,0.19499537673233913,0.17527528250219102,0.8988689139167799,16
0,13,3,0.19450761324608645,0.20714372696531458,1.0649646227638463,13
0,13,4,0.1954008357150314,0.2557982566857058,1.3090949982361222,12
0,13,5,0.18957638964302923,0.3100169281938735,1.635314021844349,11
0,13,6,0.18309060765856944,0.3971445117443353,2.1691146084617148,10
0,13,7,0.17775929080797528,0.4615810103925627,2.5966632084012207,8
0,13,8,0.17905118155937705,0.42652988309129236,2.3821673745830396,7
0,13,9,0.1855205117268779,0.39812157359253453,2.1459706524454103,6
0,13,10,0.1781933496671082,0.4124009160609899,2.314345158399101,5
0,13,11,0.17806607812598585,0.3867260284955569,2.1718119058136347,5
0,13,12,0.17938832632425553,0.39794209371520894,2.218327702081929,3
0,13,13,0.11133981408312253,0.4044120700238476,3.632232309297079,2
0,14,1,0.19485263843578907,0.14176933502670308,0.7275720573494886,21
0,14,2,0.18914603745874892,0.14769620789981613,0.7808580601749449,18
0,14,3,0.19450761324608645,0.20714372696531458,1.0649646227638463,13
0,14,4,0.19602806144079457,0.25307225963205077,1.2910001648334668,12
0,14,5,0.1901218919691236,0.299693003910082,1.5763203322148358,11
0,14,6,0.1884821531807374,0.31867498819649537,1.6907435681240057,11
0,14,7,0.1786295758456825,0.4621197920978774,2.5870284352973054,10
0,14,8,0.17806183203004292,0.4780707482992375,2.6848580790664704,8
0,14,9,0.18683989746286211,0.3929882481272007,2.1033422382674685,6
0,14,10,0.17468405353258187,0.3655350437455695,2.0925495851136193,6
0,14,11,0.17803365926525877,0.3703615405762083,2.080289435743121,5
0,14,12,0.17840012087587356,0.37121349829699507,2.080791742037419,5
0,14,13,0.1642080815241873,0.4071605327861424,2.4795401603067204,3
0,14,14,0.11133981408312253,0.4044120700238476,3.632232309297079,2
0,15,1,0.19485263843578907,0.14176933502670308,0.7275720573494886,21
0,15,2,0.18996467708953807,0.14342883321949482,0.7550289633682318,18
0,15,3,0.20152333190199434,0.195873060286332,0.971962196325683,14
0,15,4,0.19602806144079457,0.25307225963205077,1.2910001648334668,12
